id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,backend,N,rtol,atol,status,solver_status,tcritical_s,tmean_s,tail_s,t_end_s,horizon_s,mass_audit_rel,mass_audit_note,max_C_end,mean_C_end,initial_dry_mass_kg,empirical_dry_mass_ratio_end,perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,event_bracket_s,batch_wall_s
t1_q4_mov_ini_eps_z000,1,4,True,0.0,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,200479.49357444764,142965.3502083724,57514.14336607524,200479.49357444764,259200.0,0.00011021099937027588,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1187259412637326,0.08756636424583382,0.8900576990284039,0.0,0.0,"[200479.25571543648, 200480.25571543648]",385.98903058376163
t1_q4_mov_ini_eps_p050,1,4,True,0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,192284.2197387755,134566.34623059566,57717.87350817982,192284.2197387755,259200.0,0.00010934425860803657,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.11662006266393085,0.08756636424583382,0.8906266441029035,0.0,0.0,"[192283.25571543648, 192284.25571543648]",385.98903058376163
t1_q4_mov_ini_eps_p100,1,4,True,0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,185003.92312668063,126889.41466663366,58114.50846004697,185003.92312668063,259200.0,0.00010851560852274198,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.11432958688444889,0.08756636424583382,0.8912568560157543,0.0,0.0,"[185003.25571543648, 185004.25571543648]",385.98903058376163
t1_q4_mov_ini_eps_p150,1,4,True,0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,178623.52824026725,119913.19093551008,58710.337304757166,178623.52824026725,259200.0,0.00010773073965463702,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.11185864913836005,0.08756636424583382,0.891937023261959,0.0,0.0,"[178623.25571543648, 178624.25571543648]",385.98903058376163
t1_q3_fix_cur_eps_z000,1,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,206906.38550188617,129689.56695340587,77216.8185484803,206906.38550188617,259200.0,0.00015552307087150956,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12430684890728491,0.08640707230887533,2.1539494125147844,0.0,0.0,"[206906.25571543648, 206907.25571543648]",385.98903058376163
t1_q3_mov_cur_eps_z000,1,3,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,90866.25131538058,62718.617655138056,28147.63366024252,90866.25131538058,259200.0,0.00015190040561106004,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12433072464365447,0.08640707230887533,0.7792900321092884,0.0,0.0,"[90865.25571543648, 90866.25571543648]",385.98903058376163
t1_q4_fix_cur_eps_z000,1,4,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,467454.7465515726,306090.56863397505,161364.17791759752,467454.7465515726,604800.0,0.0003518879708607099,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.11835218699545487,0.08756636424583382,2.4731359490044014,0.0,0.0,"[467454.51142157987, 467455.51142157987]",401.43591123167425
t2_q3_fix_cur_baseline,2,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,206906.37119180989,129689.55266173929,77216.8185300706,206906.37119180989,259200.0,0.00015608504286729246,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1243068489164128,0.08640707230887533,2.1539494125007357,0.0,0.0,"[206906.1113347812, 206907.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m100_w050,2,3,False,0.0,current_dry_density,outer,-0.1,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,208847.9288783893,131875.18135069867,76972.74752769063,208847.9288783893,259200.0,0.0001545286380999288,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12472015086441313,0.08640707230887533,2.153310256785922,0.09773223287246903,0.09748549853149187,"[208847.1113347812, 208848.1113347812]",344.03950599208474
t2_q3_fix_cur_outer_d_m050_w050,2,3,False,0.0,current_dry_density,outer,-0.05,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,207853.06866560478,130758.40843039472,77094.66023521006,207853.06866560478,259200.0,0.00015532209170558654,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12451111975996325,0.08640707230887533,2.1536333506771204,0.097732232872469,0.09748549853149188,"[207852.1113347812, 207853.1113347812]",344.03950599208474
