t_h,C_axis,C_surf,C_bar,T_axis,T_surf,R_cm,C_max
16.666667,0.455096,0.098805,0.308066,49.998934,49.998934,1.218667,0.455096
16.750000,0.451887,0.098112,0.306155,49.998934,49.998934,1.218500,0.451887
16.833333,0.448724,0.097432,0.304271,49.998934,49.998934,1.218333,0.448724
16.916667,0.445605,0.096765,0.302413,49.998934,49.998934,1.218167,0.445605
17.000000,0.442528,0.096111,0.300580,49.998934,49.998934,1.218000,0.442528
17.083333,0.439495,0.095470,0.298772,49.998934,49.998934,1.217667,0.439495
17.166667,0.436506,0.094843,0.296991,49.998934,49.998934,1.217333,0.436506
17.250000,0.433555,0.094227,0.295231,49.998934,49.998934,1.217000,0.433555
17.333333,0.430644,0.093622,0.293495,49.998934,49.998934,1.216667,0.430644
17.416667,0.427775,0.093031,0.291784,49.998934,49.998934,1.216333,0.427775
17.500000,0.424945,0.092450,0.290095,49.998934,49.998934,1.216000,0.424945
17.583333,0.422151,0.091878,0.288427,49.998934,49.998934,1.215667,0.422151
17.666667,0.419396,0.091317,0.286782,49.998934,49.998934,1.215333,0.419396
17.750000,0.416679,0.090767,0.285159,49.998934,49.998934,1.215000,0.416679
17.833333,0.413999,0.090226,0.283558,49.998934,49.998934,1.214667,0.413999
17.916667,0.411354,0.089694,0.281977,49.998934,49.998934,1.214333,0.411354
18.000000,0.408744,0.089172,0.280417,49.998934,49.998934,1.214000,0.408744
18.083333,0.406170,0.088658,0.278878,49.998934,49.998934,1.213833,0.406170
18.166667,0.403631,0.088152,0.277359,49.998934,49.998934,1.213667,0.403631
18.250000,0.401126,0.087655,0.275859,49.998934,49.998934,1.213500,0.401126
18.333333,0.398654,0.087165,0.274379,49.998934,49.998934,1.213333,0.398654
18.416667,0.396215,0.086684,0.272919,49.998934,49.998934,1.213167,0.396215
18.500000,0.393808,0.086213,0.271477,49.998934,49.998934,1.213000,0.393808
18.583333,0.391433,0.085749,0.270053,49.998934,49.998934,1.212833,0.391433
18.666667,0.389089,0.085294,0.268647,49.998934,49.998934,1.212667,0.389089
18.750000,0.386775,0.084846,0.267259,49.998934,49.998934,1.212500,0.386775
18.833333,0.384492,0.084406,0.265889,49.998934,49.998934,1.212333,0.384492
18.916667,0.382237,0.083974,0.264536,49.998934,49.998934,1.212167,0.382237
19.000000,0.380012,0.083549,0.263199,49.998934,49.998934,1.212000,0.380012
19.083333,0.377815,0.083131,0.261879,49.998934,49.998934,1.211833,0.377815
19.166667,0.375646,0.082720,0.260576,49.998934,49.998934,1.211667,0.375646
19.250000,0.373505,0.082315,0.259288,49.998934,49.998934,1.211500,0.373505
19.333333,0.371390,0.081917,0.258016,49.998934,49.998934,1.211333,0.371390
19.416667,0.369301,0.081526,0.256758,49.998934,49.998934,1.211167,0.369301
19.500000,0.367238,0.081141,0.255516,49.998934,49.998934,1.211000,0.367238
19.583333,0.365201,0.080762,0.254289,49.998934,49.998934,1.210833,0.365201
19.666667,0.363189,0.080391,0.253076,49.998934,49.998934,1.210667,0.363189
19.750000,0.361202,0.080025,0.251878,49.998934,49.998934,1.210500,0.361202
19.833333,0.359239,0.079666,0.250694,49.998934,49.998934,1.210333,0.359239
19.916667,0.357300,0.079312,0.249524,49.998934,49.998934,1.210167,0.357300
20.000000,0.355384,0.078965,0.248367,49.998934,49.998934,1.210000,0.355384
20.083333,0.353490,0.078623,0.247224,49.998934,49.998934,1.209833,0.353490
20.166667,0.351619,0.078287,0.246093,49.998934,49.998934,1.209667,0.351619
20.250000,0.349772,0.077957,0.244976,49.998934,49.998934,1.209500,0.349772
20.333333,0.347946,0.077631,0.243872,49.998934,49.998934,1.209333,0.347946
